brand;code;series;model;kind;size;description
istanbul;JWSHH;signature;joey waronker;Hi-hats;14;
istanbul;DR;traditional;dark ride;ride;20;
istanbul;DR;traditional;dark ride;ride;21;
istanbul;DR;traditional;dark ride;ride;22;
istanbul;DR;traditional;dark ride;ride;24;
istanbul;DR;traditional;dark ride;ride;26;
istanbul;ORR;traditional;original ride;ride;20;
istanbul;ORR;traditional;original ride;ride;21;
istanbul;ORR;traditional;original ride;ride;22;
istanbul;MR;traditional;medium ride;ride;20;
istanbul;MR;traditional;medium ride;ride;21;
istanbul;MR;traditional;medium ride;ride;22;
istanbul;MR;traditional;medium ride;ride;24;
istanbul;HVR;traditional;heavy ride;ride;20;
istanbul;HVR;traditional;heavy ride;ride;21;
istanbul;HVR;traditional;heavy ride;ride;22;
istanbul;HVR;traditional;heavy ride;ride;24;
istanbul;FR;traditional;flat ride;flat ride;18;
istanbul;FR;traditional;flat ride;flat ride;19;
istanbul;FR;traditional;flat ride;flat ride;20;
istanbul;FR;traditional;flat ride;flat ride;22;
istanbul;CR;traditional;crash ride;crash ride;18;
istanbul;CR;traditional;crash ride;crash ride;19;
istanbul;CR;traditional;crash ride;crash ride;20;
istanbul;CR;traditional;crash ride;crash ride;22;
istanbul;PTC;traditional;paper thin crash;Crash;16;
istanbul;PTC;traditional;paper thin crash;Crash;17;
istanbul;PTC;traditional;paper thin crash;Crash;18;
istanbul;THC;traditional;thin crash;Crash;14;
istanbul;THC;traditional;thin crash;Crash;15;
istanbul;THC;traditional;thin crash;Crash;16;
istanbul;THC;traditional;thin crash;Crash;17;
istanbul;THC;traditional;thin crash;Crash;18;
istanbul;THC;traditional;thin crash;Crash;19;
istanbul;THC;traditional;thin crash;Crash;20;
istanbul;MC;traditional;medium crash;Crash;14;
